output_text,intput_text
gastroesophageal reflux disease,what is the uses of Magaldrate
fever,"what is the uses of Doxylamine-PE-DM-Acetaminophen, Diphenhydramine-PPA-ASA"
"calcium carb-mag hydrox-simeth, alum-mag hydroxide-simeth",which medication is used for flatulence
Bacterial Urinary Tract Infection,what is the uses of Cefepime
diclofenac sodium,which medication is used for gout
fever,what is the uses of Doxylamine-PE-DM-Acetaminophen
clotrimazole,which medication is used for oral candidiasis
adenocarcinoma of pancreas,what is the uses of Gemcitabine
tigecycline,which medication is used for diverticulitis of gastrointestinal tract
hemorrhoids,what is the uses of Hydrocortisone Acetate
labetalol,which medication is used for hypertension
naproxen,which medication is used for gout
ofloxacin,which medication is used for bacterial urinary tract infection
hypertension,what is the uses of Atenolol
fosinopril-hydrochlorothiazide,which medication is used for hypertension
Atopic Dermatitis,what is the uses of Amcinonide
"omeprazole, omeprazole magnesium",which medication is used for gastroesophageal reflux disease
gout,"what is the uses of Pseudoephedrine-Ibuprofen, Ibuprofen"
enalapril maleate,which medication is used for hypertension
demeclocycline,which medication is used for bacterial urinary tract infection
eprosartan,which medication is used for hypertension
"diphenhydramine hcl, diphenhydramine citrate",which medication is used for vertigo
hypercholesterolemia,what is the uses of Fenofibric Acid
naproxen sodium,which medication is used for gout
diltiazem hcl,which medication is used for hypertension
cetirizine,which medication is used for atopic dermatitis
nadolol,which medication is used for hypertension
ursodiol,which medication is used for biliary calculus
"betamethasone, augmented, betamethasone dipropionate",which medication is used for atopic dermatitis
cimetidine,which medication is used for gastroesophageal reflux disease
Bacterial Urinary Tract Infection,what is the uses of Amoxicillin-Pot Clavulanate
amiloride-hydrochlorothiazide,which medication is used for hypertension
Infantile Autism,what is the uses of Aripiprazole
fever,"what is the uses of Pseudoephed-DM-Acetaminophen, Phenylpropanolamine-GG, Chlorpheniramine-Pseudoephed"
hemorrhoids,"what is the uses of Cocoa Butter-Zinc Oxide, Zinc Oxide"
flatulence,"what is the uses of Aluminum-Magnesium Hydroxide, Alum-Mag Hydroxide-Simeth"
fluticasone propionate,which medication is used for atopic dermatitis
"hydrocortisone acetate, bismuth subg-balsam-znox-resor",which medication is used for hemorrhoids
gastroesophageal reflux disease,what is the uses of Magnesium Oxide
diclofenac sodium,which medication is used for gout
nystatin,which medication is used for oral candidiasis
amlodipine-olmesartan,which medication is used for hypertension
vertigo,what is the uses of Diphenhydramine Hcl
cefepime,which medication is used for bacterial urinary tract infection
adenocarcinoma of pancreas,what is the uses of Doxorubicin
miconazole-skin clnsr17,which medication is used for vulvovaginal candidiasis
aztreonam,which medication is used for bacterial urinary tract infection
aripiprazole,which medication is used for infantile autism
dm-pe-acetam/dm-acetam-doxylam,which medication is used for fever
fosinopril,which medication is used for hypertension
amitriptyline,which medication is used for fibromyalgia
omeprazole magnesium,which medication is used for gastroesophageal reflux disease
hypertension,what is the uses of Bumetanide
propranolol,which medication is used for hypertension
"asa-acetaminophen-salicyl-caff, mg salicylat-acetaminophen-caf",which medication is used for back pain
edema,what is the uses of Triamterene-Hydrochlorothiazid
Atopic Dermatitis,what is the uses of Tacrolimus
hemorrhoids,"what is the uses of Hydrocortisone Acetate, Hydrocortison-Resor-Bismth-Zno, Hydrocortisone"
doxycycline monohydrate,which medication is used for bacterial urinary tract infection
metoclopramide hcl,which medication is used for gastroesophageal reflux disease
fever,"what is the uses of Acetaminophen-Pamabrom, Ibuprofen"
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Cefpodoxime
edema,what is the uses of Bumetanide
fever,what is the uses of Doxylam-PE-DM-Acetaminophen-GG
aspirin,which medication is used for fever
azilsartan medoxomil,which medication is used for hypertension
acyclovir sodium,which medication is used for chickenpox
fluocinonide,which medication is used for atopic dermatitis
protriptyline,which medication is used for depression
Acute Bacterial Sinusitis,what is the uses of Ampicillin Sodium
Atopic Dermatitis,what is the uses of Hydrocortisone Sod Succinate
ezetimibe,which medication is used for hypercholesterolemia
flatulence,what is the uses of Calcium Carbonate-Simethicone
cefaclor,which medication is used for bacterial urinary tract infection
Atopic Dermatitis,what is the uses of Fluocinonide-Emollient
"aluminum-magnesium-alginate, alum-mag hydroxide-simeth",which medication is used for gastroesophageal reflux disease
phenylephrine-dm-acetaminophen,which medication is used for fever
Atopic Dermatitis,what is the uses of Halobetasol Propionate
Atopic Dermatitis,what is the uses of Hydrocortisone
ofloxacin,which medication is used for bacterial conjunctivitis
diverticulitis of gastrointestinal tract,"what is the uses of Ciprofloxacin Hcl, Ciprofloxacin"
Acute Bacterial Sinusitis,what is the uses of Ampicillin
hemorrhoids,what is the uses of Phenyleph-Pramoxin-Glycr-W.Pet
Atopic Dermatitis,what is the uses of Diflorasone-Emollient
gout,what is the uses of Meloxicam
diverticulitis of gastrointestinal tract,what is the uses of Tigecycline
hydrochlorothiazide,which medication is used for edema
hypertension,what is the uses of Terazosin
hypertension,what is the uses of Verapamil
Bacterial Urinary Tract Infection,what is the uses of Trimethoprim
adenocarcinoma of pancreas,what is the uses of Mitomycin
fluorouracil,which medication is used for colorectal cancer
amlodipine,which medication is used for hypertension
